Pd_bus1,Qd_bus1,Pd_bus2,Qd_bus2,Pd_bus3,Qd_bus3,Pd_bus4,Qd_bus4,Pd_bus5,Qd_bus5,Pd_bus6,Qd_bus6,Pd_bus7,Qd_bus7,Pd_bus8,Qd_bus8,Pd_bus9,Qd_bus9,Pd_bus10,Qd_bus10,Pd_bus11,Qd_bus11,Pd_bus12,Qd_bus12,Pd_bus13,Qd_bus13,Pd_bus14,Qd_bus14,Pd_bus15,Qd_bus15,Pg_bus1,Qg_bus1,Pg_bus2,Qg_bus2,Pg_bus3,Qg_bus3,Pg_bus4,Qg_bus4,Pg_bus5,Qg_bus5,Pg_bus6,Qg_bus6,Pg_bus7,Qg_bus7,Pg_bus8,Qg_bus8,Pg_bus9,Qg_bus9,Pg_bus10,Qg_bus10,Pg_bus11,Qg_bus11,Pg_bus12,Qg_bus12,Pg_bus13,Qg_bus13,Pg_bus14,Qg_bus14,Pg_bus15,Qg_bus15,Objective
0,0,10.2701696472889,10.2701696472889,10.3027959390418,10.3027959390418,10.1112170757138,10.1112170757138,9.71117177101551,9.71117177101551,9.85303579049407,9.85303579049407,9.62076575684978,9.62076575684978,10.2852165767438,10.2852165767438,10.0629804885853,10.0629804885853,10.2365539807032,10.2365539807032,9.83255001206842,9.83255001206842,10.5633168911002,10.5633168911001,10.555076674754,10.555076674754,9.97284999491623,9.97284999491622,9.67681959348181,9.67681959348181,59.150963871877,10.8913940959754,0,0,0,0,0,0,0,0,35.5529097286258,39.2133169455431,0,0,0,0,0,0,0,0,49.999964260176,59.3494358309162,0,0,0,0,0,0,0,0,457.787497134007
0,0,10.0142507979193,10.0142507979193,9.99213481686228,9.99213481686228,9.8116966956619,9.8116966956619,10.1017852745207,10.1017852745207,9.88728264626284,9.88728264626284,9.62544355313455,9.62544355313455,9.92452915116107,9.92452915116107,9.99056394323263,9.99056394323263,10.3101149566517,10.3101149566517,9.76960121050664,9.76960121050663,10.0375400045755,10.0375400045755,10.0921414375813,10.0921414375813,9.36995973217461,9.36995973217461,10.1311931841648,10.1311931841648,58.0789028675374,10.5680487909567,0,0,0,0,0,0,0,0,34.4474215436999,38.7701898560758,0,0,0,0,0,0,0,0,49.999961431565,57.5169592725158,0,0,0,0,0,0,0,0,447.878735817849
0,0,9.91210494444008,9.91210494444008,10.7536086888813,10.7536086888813,10.4717228156218,10.4717228156218,10.2581032687715,10.2581032687715,9.9621238322337,9.9621238322337,9.75268347527513,9.75268347527512,10.1295061899238,10.1295061899238,9.9425573472369,9.9425573472369,9.61559970688312,9.61559970688312,10.0034609402164,10.0034609402163,9.74598189770166,9.74598189770166,10.3425921418572,10.3425921418572,9.87075852171961,9.8707585217196,10.2093707574144,10.2093707574144,59.124492949645,11.5281380372603,0,0,0,0,0,0,0,0,35.4302093930167,39.4730561642776,0,0,0,0,0,0,0,0,49.9999612981362,58.1475396012571,0,0,0,0,0,0,0,0,457.08608539372
0,0,10.0222727989612,10.0222727989612,10.0565161727412,10.0565161727412,9.9136745055313,9.91367450553129,10.6537444013312,10.6537444013312,10.2501219671754,10.2501219671754,10.3688814753083,10.3688814753083,10.6392639147966,10.6392639147966,10.1263145046066,10.1263145046066,10.3235954604483,10.3235954604483,9.59845209700562,9.59845209700562,9.72247785331085,9.72247785331085,9.20931801210781,9.20931801210781,9.76919444543032,9.76919444543032,9.87469521601318,9.87469521601318,58.8077231868443,11.0466265434774,0,0,0,0,0,0,0,0,35.1927238221382,40.8819298644956,0,0,0,0,0,0,0,0,49.9999653891689,56.4481980677729,0,0,0,0,0,0,0,0,454.573658081158
0,0,10.3444111866538,10.3444111866538,9.75399499091893,9.75399499091893,9.78237444244388,9.78237444244387,10.0393934002975,10.0393934002975,9.75511311928352,9.75511311928352,10.1782107939958,10.1782107939958,9.90575066330348,9.90575066330348,10.4212573095261,10.4212573095261,10.232306804727,10.232306804727,9.79613589173515,9.79613589173515,10.2514169854338,10.2514169854338,10.3032877121179,10.3032877121179,10.2918703364049,10.2918703364049,9.33112520957723,9.33112520957723,58.7690999957881,10.4960386726477,0,0,0,0,0,0,0,0,35.2081243679002,39.4497176731723,0,0,0,0,0,0,0,0,49.9999642483341,58.6472742589732,0,0,0,0,0,0,0,0,454.478890788405
0,0,9.41315823744369,9.41315823744369,10.5134548571592,10.5134548571592,10.1176083447822,10.1176083447822,9.93399982340959,9.93399982340959,9.66593960408504,9.66593960408504,9.79973525262461,9.79973525262461,9.81636697917305,9.81636697917304,10.2445629386416,10.2445629386416,10.1046991158931,10.1046991158931,10.3923252339716,10.3923252339716,9.98764712122215,9.98764712122215,9.31891583840061,9.3189158384006,10.3056709186217,10.3056709186217,10.3170733049523,10.3170733049523,58.5432115254689,10.4228558988639,0,0,0,0,0,0,0,0,34.9904479493092,38.947117695013,0,0,0,0,0,0,0,0,49.9999614817675,58.7973878255218,0,0,0,0,0,0,0,0,452.462070591726
0,0,10.1906166527997,10.1906166527997,10.0079557048251,10.0079557048251,10.0364137011553,10.0364137011553,9.97550797239578,9.97550797239578,9.60152446160512,9.60152446160512,9.77396867394883,9.77396867394883,9.30894785753065,9.30894785753065,10.1323465107792,10.1323465107792,9.82591455751778,9.82591455751778,10.0198280013214,10.0198280013214,10.2212324658203,10.2212324658203,9.75059846100996,9.75059846100996,9.92339163781422,9.92339163781422,10.1638300333386,10.1638300333386,58.0485242286535,10.8151784609454,0,0,0,0,0,0,0,0,34.3588449413504,38.0570505456812,0,0,0,0,0,0,0,0,49.9999594473738,57.8653566997192,0,0,0,0,0,0,0,0,447.329320292281
0,0,9.57416386268864,9.57416386268864,9.76995937799108,9.76995937799108,9.51673731343579,9.51673731343579,10.4641310392837,10.4641310392837,10.2287166286373,10.2287166286373,10.072642272667,10.072642272667,10.3356843476479,10.3356843476479,10.1985877315479,10.1985877315479,9.74777006504198,9.74777006504198,10.5853482815708,10.5853482815708,10.0392446119574,10.0392446119574,10.162092899385,10.162092899385,10.3174270636351,10.3174270636351,9.73163031187618,9.73163031187618,58.9085654532009,9.74052851743281,0,0,0,0,0,0,0,0,35.5224638982223,40.195380826377,0,0,0,0,0,0,0,0,49.9999644230352,59.3284622892637,0,0,0,0,0,0,0,0,456.584915791808
0,0,9.71503145336749,9.71503145336749,10.000586326086,10.000586326086,10.270627881523,10.270627881523,9.73555657828805,9.73555657828805,10.0202972489927,10.0202972489927,9.93492422969684,9.93492422969684,9.692730669426,9.69273066942599,9.75160517774691,9.75160517774691,9.90393366756662,9.90393366756662,10.2588521855332,10.2588521855332,9.8993769111617,9.8993769111617,10.0284742605444,10.0284742605444,10.1774106917554,10.1774106917554,9.95708591063259,9.95708591063259,58.2289986294503,10.3411772755273,0,0,0,0,0,0,0,0,34.6541020017196,38.8037685042937,0,0,0,0,0,0,0,0,49.999960497996,58.2114365939809,0,0,0,0,0,0,0,0,449.505160273483
0,0,10.3141349284966,10.3141349284966,9.72536907280951,9.72536907280951,10.0067888084963,10.0067888084963,9.90455046419743,9.90455046419742,9.50513794363232,9.50513794363231,9.69520096524758,9.69520096524758,10.2169378294093,10.2169378294093,10.0122306444344,10.0122306444344,9.87290768856452,9.87290768856452,9.84090557007826,9.84090557007825,10.4470160452925,10.4470160452925,9.71651013412797,9.71651013412797,9.67123399478931,9.67123399478931,10.0008372563236,10.0008372563236,58.0270635305867,10.6581743884353,0,0,0,0,0,0,0,0,34.3639799095878,38.4403826316244,0,0,0,0,0,0,0,0,49.9999613648135,57.6034816264175,0,0,0,0,0,0,0,0,447.260811487129
