Pd_bus1,Qd_bus1,Pd_bus2,Qd_bus2,Pd_bus3,Qd_bus3,Pd_bus4,Qd_bus4,Pd_bus5,Qd_bus5,Pd_bus6,Qd_bus6,Pd_bus7,Qd_bus7,Pd_bus8,Qd_bus8,Pd_bus9,Qd_bus9,Pd_bus10,Qd_bus10,Pd_bus11,Qd_bus11,Pd_bus12,Qd_bus12,Pd_bus13,Qd_bus13,Pd_bus14,Qd_bus14,Pd_bus15,Qd_bus15,Pd_bus16,Qd_bus16,Pd_bus17,Qd_bus17,Pd_bus18,Qd_bus18,Pd_bus19,Qd_bus19,Pd_bus20,Qd_bus20,Pd_bus21,Qd_bus21,Pd_bus22,Qd_bus22,Pd_bus23,Qd_bus23,Pd_bus24,Qd_bus24,Pd_bus25,Qd_bus25,Pd_bus26,Qd_bus26,Pd_bus27,Qd_bus27,Pd_bus28,Qd_bus28,Pd_bus29,Qd_bus29,Pd_bus30,Qd_bus30,Pg_bus1,Qg_bus1,Pg_bus2,Qg_bus2,Pg_bus3,Qg_bus3,Pg_bus4,Qg_bus4,Pg_bus5,Qg_bus5,Pg_bus6,Qg_bus6,Pg_bus7,Qg_bus7,Pg_bus8,Qg_bus8,Pg_bus9,Qg_bus9,Pg_bus10,Qg_bus10,Pg_bus11,Qg_bus11,Pg_bus12,Qg_bus12,Pg_bus13,Qg_bus13,Pg_bus14,Qg_bus14,Pg_bus15,Qg_bus15,Pg_bus16,Qg_bus16,Pg_bus17,Qg_bus17,Pg_bus18,Qg_bus18,Pg_bus19,Qg_bus19,Pg_bus20,Qg_bus20,Pg_bus21,Qg_bus21,Pg_bus22,Qg_bus22,Pg_bus23,Qg_bus23,Pg_bus24,Qg_bus24,Pg_bus25,Qg_bus25,Pg_bus26,Qg_bus26,Pg_bus27,Qg_bus27,Pg_bus28,Qg_bus28,Pg_bus29,Qg_bus29,Pg_bus30,Qg_bus30,Objective
0,0,22.0763787564112,12.9202769680379,2.44684735024668,1.22342367512334,7.65128331836164,1.61079648807613,0,0,0,0,22.2083639504117,10.6171564499775,30.5504331534876,30.5504331534876,0,0,5.88760087253859,2.0302071974271,0,0,11.6131432786881,7.77665844555008,0,0,6.18464466456537,1.59603733279106,8.01786137777005,2.44446993224697,3.45233658838129,1.77548738831038,9.00255047875157,5.80164364186213,3.19618876093062,0.898928089011737,9.37440790725254,3.3550512510167,2.21346184026304,0.704283312810966,17.3568297539733,11.1083710425429,0,0,3.18176621891436,1.59088310945718,8.68872708707493,6.69131856131058,0,0,3.44390694911821,2.26313885227768,0,0,0,0,2.29759355714794,0.861597583930476,10.6856431834765,1.91535113666088,43.8509345958077,-0.952029111099739,58.0338752298989,23.1311337175119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4019815369242,27.0919356515678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0884198620053,28.8817841638097,16.8385275477794,7.00034226120132,0,0,0,0,0,0,32.7288766575172,14.2943124085028,0,0,0,0,0,0,575.74677913445
0,0,21.55837848629,12.6171155196259,2.518977390221,1.2594886951105,7.83393955991502,1.64925043366632,0,0,0,0,22.4088788824182,10.7130166586999,30.2390123798475,30.2390123798475,0,0,5.64749855332814,1.94741329425108,0,0,11.0028664836172,7.36799094885083,0,0,6.1424468556441,1.58514757565009,8.30898934738652,2.53322845956906,3.46289033172473,1.78091502774415,9.0073636793767,5.80474548226498,3.20992345018478,0.902790970364471,9.43899385350315,3.37816622125376,2.29441584552858,0.730041405395456,17.780142295038,11.3792910688243,0,0,3.33424296848995,1.66712148424497,8.76746241267184,6.75195381205762,0,0,3.40397215596798,2.23689598820753,0,0,0,0,2.36147111126885,0.885551666725819,10.504384619316,1.88286139402834,43.7960097847132,-1.00548605045516,57.9660272847529,22.8375085528944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3506294615683,26.660518789398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0827810522142,29.1135495436034,16.8380553474773,7.1355208360319,0,0,0,0,0,0,32.6118093406423,14.274017719911,0,0,0,0,0,0,574.617524389634
0,0,22.1837815166924,12.9831348047002,2.35903919854703,1.17951959927351,7.4846697175049,1.57571994052735,0,0,0,0,23.0556804068736,11.0222331769703,29.791501326607,29.791501326607,0,0,5.88595863116112,2.02964090729694,0,0,11.3802580157906,7.62070849271692,0,0,6.31650640571404,1.63006616921653,7.82888178123555,2.38685420159621,3.46404202221872,1.78150732571249,8.64189494246621,5.56922118514489,3.30740370286063,0.930207291429551,9.56815195169541,3.42439122481731,2.18885330743341,0.696453325092448,17.0985962047659,10.9431015710502,0,0,3.15869162222358,1.57934581111179,8.83604650441216,6.8047714459266,0,0,3.58920922126004,2.35862320254231,0,0,0,0,2.44730734697948,0.917740255117304,10.8169984688329,1.93889595196062,43.8186566998723,-1.1494419221092,58.0005422624664,23.0388846409101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3607779704456,26.6290574809595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0707946640929,28.6344578317197,16.8145233924987,7.0552410162512,0,0,0,0,0,0,32.7513921931561,14.582543215814,0,0,0,0,0,0,575.264979935288
0,0,21.9612920910503,12.8529220993704,2.39967291277202,1.19983645638601,7.61338294191867,1.60281746145656,0,0,0,0,22.4412323844022,10.7284839030695,28.5978957150613,28.5978957150613,0,0,5.72882029557354,1.9754552743357,0,0,11.3577202411458,7.60561623291015,0,0,6.16420187696321,1.59076177470018,8.28409375155842,2.52563833888976,3.39517176646249,1.74608833703785,8.73849831761318,5.63147669357294,3.14879133397143,0.885597562679465,9.18760029850934,3.28819379104545,2.26660588576162,0.721192781833241,17.7551694000768,11.3633084160492,0,0,3.26947932749821,1.63473966374911,8.80938088429777,6.78423585342472,0,0,3.63424793236652,2.38822006984086,0,0,0,0,2.44918833018162,0.918445623818108,10.4032854203925,1.86473983950432,43.5303159737578,-1.48578385123269,57.6615144597058,22.2953700146338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1132604716146,26.3211378251885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.978435698203,28.6893231709794,16.6193863640178,7.1200280931889,0,0,0,0,0,0,32.0484795753367,14.3663310151779,0,0,0,0,0,0,568.17814455627
0,0,21.2732788358716,12.4502599638511,2.39849381217376,1.19924690608688,7.73205145997164,1.62780030736245,0,0,0,0,22.6858848291392,10.8454449402464,29.365461338852,29.365461338852,0,0,5.75898768479243,1.98585782234222,0,0,11.1174014270007,7.44468845558085,0,0,6.26919641925888,1.61785714045391,8.17107363114581,2.49118098510543,3.57337689340295,1.83773668803581,9.18248095709796,5.91759883901869,3.1392787355327,0.882922144368571,9.49796624538101,3.39927212992584,2.18453406808229,0.695079021662546,16.910994267571,10.8230363312455,0,0,3.24414673694066,1.62207336847033,8.70129377377196,6.70099635451404,0,0,3.46054463301826,2.274072187412,0,0,0,0,2.34579743916629,0.879674039687358,10.5935249944687,1.89883938580099,43.5324864207432,-1.25789169586293,57.6582705034781,22.3568215204073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1312556572206,26.601385714518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9744846780273,28.5205526042458,16.6160260806774,7.05541686469561,0,0,0,0,0,0,32.0794808412228,14.2399550266023,0,0,0,0,0,0,568.332595678897
0,0,21.3187841421183,12.4768921016084,2.41157844576526,1.20578922288263,7.70449635295763,1.62199923220161,0,0,0,0,22.620560984327,10.8142155582967,30.5119560882011,30.5119560882011,0,0,5.81835697351541,2.00632999086738,0,0,11.3339704714382,7.58971236926664,0,0,6.05141954850406,1.56165665767847,7.84783756868136,2.39263340508578,3.51576499095735,1.80810770963521,9.06666191633587,5.84295990163867,3.07964249316793,0.866149451203481,9.51005879629808,3.40359999025405,2.16919252243072,0.690197620773412,17.5761198552209,11.2487167073414,0,0,3.23326164315812,1.61663082157906,8.63814076268306,6.65236127700879,0,0,3.40550806545945,2.23790530015907,0,0,0,0,2.46566965903126,0.924626122136724,10.9057708232057,1.95480797774441,43.7797717346558,-0.958264051185915,57.9465691052899,22.8403033442286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3333771921139,26.8072164494978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0732281767162,29.031265954834,16.7882726866106,6.97735365657876,0,0,0,0,0,0,32.6976861974289,14.4693537295149,0,0,0,0,0,0,574.51393525113
0,0,21.8312366676056,12.7768067132991,2.49819905181696,1.24909952590848,7.62633601072346,1.6055444233102,0,0,0,0,21.6946692737519,10.3715743457849,30.7810562417915,30.7810562417915,0,0,5.83022350817645,2.01042189937119,0,0,11.0703260074113,7.41316473710579,0,0,6.43025367662455,1.65942030364504,8.37449264708289,2.55319897776918,3.59635811923815,1.84955560417962,9.11815893355504,5.87614686829103,3.05596292145337,0.85948957165876,9.22689076511156,3.30225564225045,2.26502537027462,0.720689890541924,17.625241087761,11.280154296167,0,0,3.06060123130726,1.53030061565363,8.87544836096145,6.83511540441859,0,0,3.44281788351794,2.2624231805975,0,0,0,0,2.45330780722191,0.919990427708215,10.4885145210368,1.88001675377075,43.8173996659043,-0.949880196466087,57.9917195481613,22.9616596847728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3729585782812,26.8511930312002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0864166826297,29.1561233435442,16.8274170888195,7.03713329717751,0,0,0,0,0,0,32.6685631360182,14.4101668274067,0,0,0,0,0,0,575.069860708111
0,0,21.3513829291411,12.4959706543821,2.38401607056611,1.19200803528305,7.69794760359702,1.62062054812569,0,0,0,0,22.97309050516,10.9827494081686,30.1320305489526,30.1320305489526,0,0,5.74524812556164,1.98112004329712,0,0,11.0047189357117,7.36923143016411,0,0,6.15983340847674,1.589634427994,8.52534558652217,2.59919072759822,3.52621408045497,1.81348152709113,9.13584887985873,5.88754705590896,3.20060994075408,0.900171545837086,9.55418070719506,3.4193909899435,2.1984419678172,0.699504262487289,17.2742337080106,11.0555095731268,0,0,3.15322684574859,1.57661342287429,8.35675185353786,6.43565947341422,0,0,3.33481582674184,2.19145040043035,0,0,0,0,2.49728637536886,0.936482390763321,10.4884789511545,1.88001037803713,43.7169798508488,-0.99297222859118,57.8739883086452,22.8423883967905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2902861728043,26.8465973062517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0437735577537,28.7459222737423,16.7429891909145,6.930692738919,0,0,0,0,0,0,32.4456548791346,14.0930586455295,0,0,0,0,0,0,572.593577893823
0,0,22.1631595160618,12.9710657075569,2.38875120086724,1.19437560043362,7.83646165483595,1.64978140101809,0,0,0,0,22.5742637467889,10.7920822298245,29.865046576032,29.865046576032,0,0,5.73564971513861,1.97781024659952,0,0,11.2346320327507,7.52319109335987,0,0,6.33031426285867,1.63362948718933,8.21550004884954,2.50472562464925,3.44251815743019,1.77043790953553,9.07676096549869,5.84946817776582,3.28114267430811,0.922821377149156,9.34805914213236,3.3456211666579,2.20190830212545,0.700607187039915,17.8254440462927,11.4082841896273,0,0,3.22154095528425,1.61077047764212,8.83645664204343,6.80508729904494,0,0,3.4658126840605,2.27753404952547,0,0,0,0,2.46128595750017,0.922982234062563,10.7227657606869,1.92200518351934,43.9552922713426,-1.12250596997394,58.1578490671814,23.0681156220175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4828185532418,26.7916302563969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1333182467997,29.1108720977253,16.9422229129295,7.10579936397581,0,0,0,0,0,0,32.9832321221404,14.4069671601105,0,0,0,0,0,0,578.46012146618
0,0,21.7023281729262,12.7013625712517,2.42826379999717,1.21413189999859,7.63074979595451,1.60647364125358,0,0,0,0,23.6688404349693,11.3153666991739,29.9052380622012,29.9052380622012,0,0,5.66487431402497,1.95340493587068,0,0,10.9410034447144,7.32656480672842,0,0,6.23410268378695,1.60880069259018,8.04091949542389,2.45149984616582,3.52990915917281,1.81538185328887,8.81347948542504,5.67979789060725,3.1686190477679,0.891174107184723,9.6467574285633,3.45252371127529,2.18026828508378,0.693721727072112,17.1765762426714,10.9930087953097,0,0,3.23940315654189,1.61970157827094,8.40543316066703,6.47314967545622,0,0,3.36736421604891,2.212839341975,0,0,0,0,2.40748813820638,0.902808051827393,10.65033360805,1.90902206182029,43.7342243932708,-0.967882833646482,57.8984763646014,23.0771498457099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2902508968265,26.5783270288824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0429081015211,28.5740403253608,16.7407300783509,6.93867271925471,0,0,0,0,0,0,32.5061851027932,14.1560627002257,0,0,0,0,0,0,572.968044709842
