Removed branches (total = 20):
fbus	tbus	r	x	b
41	42	0.04100	0.13500	0.03440
64	65	0.00269	0.03020	0.38000
89	92	0.03930	0.15810	0.04140
92	94	0.04810	0.15800	0.04060
99	100	0.01800	0.08130	0.02160
28	29	0.02370	0.09430	0.02380
34	36	0.00871	0.02680	0.00568
59	61	0.03280	0.15000	0.03880
84	85	0.03020	0.06410	0.01234
27	115	0.01640	0.07410	0.01972
26	25	0.00000	0.03820	0.00000
64	61	0.00000	0.02680	0.00000
34	37	0.00256	0.00940	0.00984
17	113	0.00913	0.03010	0.00768
35	37	0.01100	0.04970	0.01318
38	37	0.00000	0.03750	0.00000
100	104	0.04510	0.20400	0.05410
94	100	0.01780	0.05800	0.06040
38	65	0.00901	0.09860	1.04600
56	58	0.03430	0.09660	0.02420

Added branches (total = 20):
fbus	tbus	r	x	b
86	35	0.04460	0.18000	0.04444
89	76	0.01050	0.02880	0.00760
105	77	0.01450	0.04870	0.01222
81	33	0.04540	0.18010	0.04660
68	49	0.03000	0.12700	0.12200
101	12	0.06840	0.18600	0.04440
115	109	0.04460	0.18000	0.04444
7	105	0.01620	0.05300	0.05440
29	13	0.01913	0.08550	0.02160
89	113	0.06480	0.29500	0.04720
23	61	0.00862	0.03400	0.00874
13	75	0.01450	0.04870	0.01222
63	40	0.02240	0.10150	0.02682
117	75	0.04050	0.16350	0.04058
117	42	0.05550	0.18300	0.04660
38	76	0.02580	0.11700	0.03100
33	112	0.02550	0.07190	0.01788
83	54	0.02380	0.10800	0.02860
35	73	0.00176	0.00798	0.00210
46	81	0.04540	0.18010	0.04660
