Removed branches (total = 20):
fbus	tbus	r	x	b
92	93	0.02580	0.08480	0.02180
3	5	0.02410	0.10800	0.02840
74	75	0.01230	0.04060	0.01034
89	90	0.05180	0.18800	0.05280
60	62	0.01230	0.05610	0.01468
23	32	0.03170	0.11530	0.11730
30	17	0.00000	0.03880	0.00000
88	89	0.01390	0.07120	0.01934
23	25	0.01560	0.08000	0.08640
11	13	0.02225	0.07310	0.01876
77	78	0.00376	0.01240	0.01264
100	106	0.06050	0.22900	0.06200
1	2	0.03030	0.09990	0.02540
59	61	0.03280	0.15000	0.03880
90	91	0.02540	0.08360	0.02140
47	69	0.08440	0.27780	0.07092
77	80	0.01700	0.04850	0.04720
34	37	0.00256	0.00940	0.00984
94	100	0.01780	0.05800	0.06040
75	77	0.06010	0.19990	0.04978

Added branches (total = 20):
fbus	tbus	r	x	b
65	17	0.01790	0.05050	0.01258
80	53	0.03430	0.09660	0.02420
73	61	0.02940	0.10500	0.02280
108	38	0.05950	0.19500	0.05020
36	14	0.02770	0.12620	0.03280
6	74	0.02240	0.10150	0.02682
97	24	0.00994	0.03780	0.00986
42	90	0.06080	0.24540	0.06068
47	12	0.02460	0.11200	0.02940
18	46	0.01640	0.05440	0.01356
117	54	0.04660	0.15840	0.04070
30	71	0.01350	0.06120	0.01628
43	10	0.04000	0.13560	0.03320
40	92	0.02090	0.06880	0.01748
51	38	0.01120	0.03665	0.03796
41	6	0.01350	0.06120	0.01628
91	104	0.02550	0.07190	0.01788
72	61	0.02940	0.10500	0.02280
67	57	0.02240	0.09010	0.02240
8	116	0.02670	0.07520	0.01874
