Removed branches (total = 20):
fbus	tbus	r	x	b
31	32	0.02980	0.09850	0.02510
101	102	0.02460	0.11200	0.02940
17	31	0.04740	0.15630	0.03990
105	106	0.01400	0.05470	0.01434
59	61	0.03280	0.15000	0.03880
24	72	0.04880	0.19600	0.04880
89	90	0.05180	0.18800	0.05280
63	59	0.00000	0.03860	0.00000
37	40	0.05930	0.16800	0.04200
27	28	0.01913	0.08550	0.02160
7	12	0.00862	0.03400	0.00874
83	84	0.06250	0.13200	0.02580
54	55	0.01690	0.07070	0.02020
21	22	0.02090	0.09700	0.02460
80	98	0.02380	0.10800	0.02860
35	37	0.01100	0.04970	0.01318
49	51	0.04860	0.13700	0.03420
38	37	0.00000	0.03750	0.00000
49	69	0.09850	0.32400	0.08280
64	65	0.00269	0.03020	0.38000

Added branches (total = 20):
fbus	tbus	r	x	b
10	29	0.03170	0.11530	0.11730
43	96	0.02030	0.06820	0.01738
54	96	0.03210	0.10600	0.02700
8	29	0.02225	0.07310	0.01876
70	108	0.02030	0.06820	0.01738
114	68	0.04130	0.16810	0.04226
98	78	0.02225	0.07310	0.01876
77	29	0.00459	0.02080	0.00550
65	44	0.02200	0.07550	0.02000
59	25	0.00376	0.01240	0.01264
118	26	0.08250	0.25100	0.05690
51	38	0.02630	0.12200	0.03100
57	64	0.01450	0.04870	0.01222
16	36	0.01200	0.03940	0.01010
38	81	0.02940	0.10500	0.02280
118	67	0.04280	0.14100	0.03600
76	86	0.02980	0.08530	0.08174
70	72	0.02630	0.12200	0.03100
92	72	0.01910	0.06250	0.01604
29	9	0.02630	0.12200	0.03100
